1927 LA,341,191.7,17.6,0.33,2.23,3.35,48.3,0.161,4.46,6.12,11
(1207) Ostenia,46.6,20,10.3,0.09,2.75,3.02,251.2,0.188,3.29,5.25,11
(1841) Masaryk,125.7,44.2,2.6,0.11,3.02,3.4,353.8,0.157,3.79,6.28,11
-24244,165.4,292.1,29.2,0.05,4.96,5.2,50.8,0.083,5.44,11.86,11
(1044) Teutonia,228.1,59.9,4.2,0.14,2.21,2.58,47.6,0.238,2.94,4.13,11
(1091) Spiraea,12.9,80.8,1.2,0.07,3.18,3.42,123.7,0.156,3.66,6.32,11
(2239) Paracelsus,3.4,20.1,10.9,0.11,2.85,3.19,359.5,0.173,3.53,5.7,11
(2421) Nininger,284.3,77.4,10.2,0.04,3.1,3.24,300,0.169,3.37,5.82,11
(1285) Julietta,69.2,317.8,5.7,0.05,2.85,2.99,138.3,0.19,3.14,5.18,11
(2621) Goto,271.7,95.7,13,0.17,2.54,3.08,131.4,0.182,3.62,5.41,11
(620) Drakonia,336.7,359.9,7.7,0.13,2.11,2.44,65.8,0.259,2.76,3.8,11
(1057) Wanda,115,257.8,3.5,0.25,2.18,2.89,23.9,0.2,3.61,4.92,11
(2288) Karolinum,100.3,75.7,14.6,0.16,2.46,2.91,254.2,0.198,3.37,4.97,11
(2531) Cambridge,31.5,104.1,11,0.05,2.86,3.01,331,0.189,3.17,5.23,11
(2725) David Bender,28.5,61.5,15.6,0.15,2.57,3.03,229.6,0.187,3.5,5.28,11
-24470,68.8,260.7,23.9,0.09,4.8,5.25,52.5,0.082,5.7,12.02,11
(1211) Bressole,211.4,129.7,12.8,0.16,2.46,2.93,220.6,0.197,3.4,5.02,11
(4317) Garibaldi,94.5,38.4,9.8,0.16,3.35,3.99,243.9,0.124,4.63,7.96,11
(9712) Nauplius,275.2,176.6,8.5,0.13,4.56,5.22,33.1,0.083,5.89,11.94,11
-13694,165.5,249.7,5.6,0.07,4.9,5.27,87.1,0.081,5.65,12.11,11
-23075,320.9,104.2,14.4,0.17,4.3,5.19,56.8,0.083,6.09,11.84,11
-76857,257.2,61.3,23,0.09,4.77,5.26,41.2,0.082,5.75,12.07,11
(698) Ernestina,98,40.6,11.5,0.11,2.55,2.87,235.4,0.203,3.19,4.85,11
(1684) Iguassu,155.6,105,3.7,0.13,2.68,3.09,222.2,0.181,3.5,5.43,11
(2976) Lautaro,188.4,206.7,9.8,0.15,2.85,3.34,235.7,0.161,3.83,6.11,11
(942) Romilda,319.8,71.2,10.5,0.17,2.64,3.16,143,0.175,3.69,5.63,11
(1297) Quadea,125.8,295.8,9,0.07,2.82,3.02,118.7,0.188,3.22,5.25,11
(3557) Sokolsky,122.7,185.8,6.1,0.17,3.31,4,351.8,0.123,4.69,8.01,11
(3925) Tret'yakov,206.2,163.6,15.6,0.19,2.54,3.16,139.3,0.176,3.77,5.6,11
(652) Jubilatrix,276.7,86.1,15.7,0.13,2.23,2.56,220,0.241,2.88,4.09,11
(1411) Brauna,93.4,284.4,8,0.06,2.82,3.01,59.6,0.189,3.19,5.21,11
(1426) Riviera,274.7,335,9.1,0.16,2.16,2.58,322.7,0.238,3,4.15,11
(1564) Srbija,232.9,177,11,0.2,2.54,3.17,232.7,0.175,3.8,5.65,11
(1732) Heike,212.3,155.6,10.8,0.11,2.67,3.01,18.3,0.189,3.35,5.23,11
(2448) Sholokhov,72.2,131.1,17.7,0.12,2.47,2.79,180.5,0.211,3.11,4.66,11
(3248) Farinella,317.5,12,10.9,0.15,2.72,3.2,29.5,0.172,3.69,5.73,11
(3990) Heimdal,198,192.6,9.5,0.24,2.99,3.94,212.3,0.126,4.9,7.83,11
-32501,180.6,55.7,32.1,0.07,4.86,5.22,134.1,0.083,5.58,11.92,11
(2957) Tatsuo,60.4,249.3,8.7,0.09,2.74,3.02,226,0.188,3.3,5.25,11
(5914) Kathywhaler,249.9,73.2,10.4,0.09,3.22,3.56,90.7,0.147,3.89,6.71,11
(9790) Deipyrus,153.1,231.2,5.9,0.05,4.95,5.24,94.5,0.082,5.53,11.99,11
(1029) La Plata,138.3,29.9,2.4,0.03,2.81,2.89,213.6,0.201,2.97,4.91,11
(1635) Bohrmann,134.9,184.3,1.8,0.06,2.68,2.85,169.8,0.205,3.03,4.82,11
(1678) Hveen,119.7,351.5,10.2,0.11,2.82,3.16,320.2,0.175,3.51,5.63,11
(3024) Hainan,342.1,27.4,14.8,0.13,2.97,3.41,308.3,0.156,3.86,6.3,11
(1237) Genevieve,307.6,57.8,9.7,0.08,2.41,2.61,54.3,0.233,2.82,4.23,11
(2145) Blaauw,277.8,264.2,15,0.1,2.89,3.22,39.8,0.171,3.54,5.76,11
(3415) Danby,135.5,253.6,1.4,0.25,2.98,3.97,51.8,0.125,4.96,7.91,11
(8060) Anius,34.5,6.3,7.1,0.09,4.73,5.21,89.4,0.083,5.7,11.9,11
-19844,105.7,207.5,40.4,0.05,4.93,5.2,60.6,0.083,5.46,11.85,11
-29976,100,318.9,30.1,0.01,5.11,5.16,317.9,0.084,5.22,11.74,11
(1329) Eliane,165.6,131.9,14.5,0.17,2.17,2.62,122.5,0.232,3.07,4.24,11.1
(614) Pia,210.2,217,7,0.11,2.4,2.69,214.5,0.223,2.99,4.42,11.1
(3318) Blixen,47.1,109,11.6,0.05,2.87,3.01,250.1,0.189,3.15,5.22,11.1
(1702) Kalahari,241.4,103.8,10,0.14,2.45,2.86,239.5,0.204,3.27,4.83,11.1
(1926) Demiddelaer,91.2,93.3,13.7,0.11,2.38,2.66,262.4,0.227,2.94,4.34,11.1
(1963) Bezovec,355.5,106.8,25,0.21,1.92,2.42,53.5,0.261,2.93,3.77,11.1
(2670) Chuvashia,165.3,284.5,9.9,0.07,2.95,3.17,23.6,0.174,3.39,5.65,11.1
-23970,13.5,76.4,32.1,0.07,4.91,5.26,33.3,0.082,5.61,12.07,11.1
(1407) Lindelof,111.2,268.3,5.8,0.28,1.98,2.76,69.3,0.215,3.55,4.59,11.1
(1482) Sebastiana,219.1,71,3,0.04,2.76,2.87,162.6,0.202,2.98,4.87,11.1
(3140) Stellafane,267.5,101.4,11.3,0.11,2.67,3.01,84.7,0.188,3.35,5.23,11.1
-12920,86,220.5,6.4,0.21,3.15,3.97,163.7,0.125,4.79,7.91,11.1
(1690) Mayrhofer,154.8,230.2,13.1,0.1,2.75,3.04,112.7,0.186,3.33,5.29,11.1
(2120) Tyumenia,74.5,222.3,17.6,0.13,2.67,3.06,245.6,0.184,3.45,5.35,11.1
(2271) Kiso,177.3,136.4,3.4,0.06,2.59,2.76,193.2,0.215,2.93,4.58,11.1
-12921,274.7,160.2,12.8,0.09,4.75,5.24,49.5,0.082,5.73,12,11.1
(889) Erynia,278.4,132.5,8.1,0.2,1.95,2.45,34.8,0.258,2.95,3.83,11.1
(1018) Arnolda,343.2,359.6,7.6,0.25,1.92,2.54,116.6,0.243,3.16,4.05,11.1
(1811) Bruwer,135.6,167.8,8.5,0.11,2.79,3.13,194,0.178,3.48,5.55,11.1
(2379) Heiskanen,176.6,151.3,0.5,0.28,2.29,3.17,196.1,0.175,4.04,5.63,11.1
(2569) Madeline,314,76.2,11.5,0.16,2.2,2.63,70,0.232,3.06,4.25,11.1
-30506,11.9,343.4,20.1,0.08,4.7,5.13,16.2,0.085,5.55,11.61,11.1
-32482,222.2,52.7,12.1,0.03,5,5.14,95.5,0.085,5.28,11.66,11.1
-42367,339.9,188,29,0.04,5,5.23,346.6,0.082,5.46,11.96,11.1
(1443) Ruppina,159.7,174.8,1.9,0.06,2.75,2.94,174.4,0.196,3.12,5.03,11.1
(3655) Eupraksia,39.8,338,3.8,0.2,3.21,4.02,237.4,0.122,4.83,8.06,11.1
(4460) Bihoro,30.6,326.3,27,0.18,2.38,2.92,128.2,0.198,3.46,4.99,11.1
(6419) Susono,76.3,274.5,11.4,0.08,2.89,3.13,285.2,0.178,3.37,5.55,11.1
(6505) Muzzio,253.9,257.9,17.7,0.19,2.58,3.2,168.2,0.172,3.81,5.72,11.1
-20428,6.7,45.3,21.1,0.15,4.44,5.19,64.9,0.083,5.95,11.83,11.1
1988 RH9,39.5,153.7,19.2,0.3,1.84,2.63,97.1,0.231,3.43,4.27,11.1
(1626) Sadeya,149.3,279.5,25.3,0.27,1.72,2.36,355.6,0.271,3.01,3.63,11.1
(3776) Vartiovuori,159,39.6,27.4,0.07,2.97,3.19,31.8,0.173,3.4,5.69,11.1
(3801) Thrasymedes,209.1,209.5,28.5,0.02,5.2,5.32,59.6,0.08,5.44,12.27,11.1
(5661) Hildebrand,2.1,317,13.3,0.23,3.03,3.96,9.9,0.125,4.89,7.88,11.1
(1017) Jacqueline,70.3,118.7,7.9,0.08,2.41,2.61,305.5,0.234,2.8,4.21,11.1
(2103) Laverna,237.7,292,7.7,0.19,2.54,3.14,188.4,0.177,3.74,5.57,11.1
-32615,228.3,100.4,17.6,0.03,4.98,5.15,3.7,0.084,5.32,11.68,11.1
